Source,Headline,SourceURL,Date,Details,ImageURL
Financial Express,IRCTC ticket booking gets easier! Say goodbye to payment failures on irctc.co.in with this new step,https://www.financialexpress.com/infrastructure/railways/irctc-ticket-booking-e-ticketing-website-irctc-co-in-ipay-payments-refund/1501273/,"February 28, 2019","Booking train ticket on the IRCTC next-generation e-ticketing website? Tired of payment failures? Big relief coming with the new IRCTC iPay,",https://images.financialexpress.com/2019/02/irctc-660-2-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"Indian Railways rolls out new ‘Make in India’ 160 kmph WAP-7HS locomotive for Rajdhani, Shatabdi and Duronto",https://www.financialexpress.com/infrastructure/railways/indian-railways-rolls-out-new-make-in-india-160-kmph-wap-7hs-locomotive-for-rajdhani-shatabdi-and-duronto/1501006/,"February 28, 2019","The newly manufactured semi high-speed passenger WAP-7HS locomotive is expected to facilitate operation of premium trains of Indian Railways such as Rajdhani Express, Shatabdi Express and Duranto Expr",https://images.financialexpress.com/2019/02/locomotive-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"Railways creates new zone for Andhra, to be headquartered in Vishakhapatnam",https://www.financialexpress.com/infrastructure/railways/railways-creates-new-zone-for-andhra-to-be-headquartered-in-vishakhapatnam/1500818/,"February 28, 2019","The ministry of railways on Wednesday created a new railway zone — South Coast Railway (ScoR) — which will be headquartered in Visakhapatnam. With this addition, the railways will now have 17 zone",https://images.financialexpress.com/2019/02/67-5-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Delhi metro on red alert in view of tensions between India and Pakistan,https://www.financialexpress.com/infrastructure/railways/delhi-metro-on-red-alert-in-view-of-tensions-between-india-and-pakistan/1500518/,"February 27, 2019","""As advised by security agencies, a red alert has been imposed on the entire DMRC network from 6 pm onwards,"" a senior DMRC official said.",https://images.financialexpress.com/2019/02/dmrc-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Indian Railways passengers note! No more running after TTE for berths as reservation charts go public on IRCTC,https://www.financialexpress.com/infrastructure/railways/indian-railways-passengers-note-no-more-running-after-tte-for-berths-as-reservation-charts-go-public-on-irctc/1499932/,"February 27, 2019",The information will be made available after preparation of the first chart around 4 hours before the departure of the train and the second chart will be available around 30 minutes before the train l,https://images.financialexpress.com/2019/02/irctc-660-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Andhra Pradesh CM N Chandrababu Naidu seeks speedy action on setting up new railway zone at Vizag,https://www.financialexpress.com/infrastructure/railways/andhra-pradesh-cm-n-chandrababu-naidu-seeks-speedy-action-on-setting-up-new-railway-zone-at-vizag/1499755/,"February 27, 2019",BJP leaders from the State had met Prime Minister Narendra Modi and Railway Minister Piyush Goyal in New Delhi two days ago and requested that a positive decision be taken on the railway zone.,https://images.financialexpress.com/2019/02/Railways-train-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Saving Vande Bharat Express: What Indian Railways is doing to prevent stone pelting incidents on Train 18,https://www.financialexpress.com/infrastructure/railways/saving-vande-bharat-express-what-indian-railways-is-doing-to-prevent-stone-pelting-incidents-on-train-18/1498947/,"February 26, 2019","The Railway Protection Force (RPF) has been roped in by Indian Railways to identify areas where stone-pelting cases usually occur. The RPF, which is entrusted with securing railway property has also b",https://images.financialexpress.com/2019/02/vande-bharat-express-660-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"Just like Rajdhani and Shatabdi, Indian Railways to give ‘Swarn’ makeover to Mail/Express trains too!",https://www.financialexpress.com/infrastructure/railways/just-like-rajdhani-and-shatabdi-indian-railways-to-give-swarn-makeover-to-mail-express-trains-too/1498952/,"February 26, 2019","In the first phase of the project, the first AC coaches will be upgraded according to the scheme. Further, after reviewing the results of the first phase, the coaches of other classes will also be mod",https://images.financialexpress.com/2019/02/rajdhani1-660-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"Mumbai-Ahmedabad bullet train: Name India’s 1st bullet train, design its mascot and win a prize! Details here",https://www.financialexpress.com/infrastructure/railways/mumbai-ahmedabad-bullet-train-name-indias-1st-bullet-train-design-its-mascot-and-win-a-prize-details-here/1498901/,"February 26, 2019","The corporation, which is implementing this project, has asked for entries for the name along with the designing of mascot for the bullet train project by March 25. The Mumbai-Ahmedabad bullet train i",https://images.financialexpress.com/2019/02/red-bullet-660-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Get real-time Indian Railways information with Rail Drishti! PNR enquiry to status of trains; top 10 points,https://www.financialexpress.com/infrastructure/railways/indian-railways-rail-drishti-dashboard-features-piyush-goyal-raildrishti-cris-org-in/1498326/,"February 25, 2019","Indian Railways goes transparent with new Rail Drishti Dashboard! PNR enquiry, status of Mail/Express trains or any real-time data about Indian Railways is now available at the click of a button.",https://images.financialexpress.com/2019/02/rail-drishti-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Vande Bharat Express: Indian Railways plans to start Train 18 operations on these 3 routes; find out here,https://www.financialexpress.com/infrastructure/railways/vande-bharat-express-indian-railways-plans-to-start-train-18-operations-on-these-3-routes-find-out-here/1497659/,"February 25, 2019","Vande Bharat Express will soon run on 3 new routes namely, Bengaluru-Mangaluru route, Mangaluru-Chennai route as well as Mangaluru-Hyderabad route.",https://images.financialexpress.com/2019/02/train-18-660-3-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"Ganga Expressway, India’s longest expressway, on fast-track! What Yogi Adityanath government is doing; details",https://www.financialexpress.com/infrastructure/railways/ganga-expressway-indias-longest-expressway-on-fast-track-what-yogi-adityanath-government-is-doing-details/1497643/,"February 25, 2019","The total length of the Ganga Expressway will be 1,020 km. The expressway will be built in two phases. In phase one, 596 km road stretch from Meerut to Prayagraj will be built.",https://images.financialexpress.com/2019/02/GANGA-ROAD-L-620x400.jpg?w=620&h=400&imflag=true
Financial Express,This Indian Railways station in Varanasi will take your breath away! Beautiful pics of new Manduadih station,https://www.financialexpress.com/infrastructure/railways/this-indian-railways-station-in-varanasi-will-take-your-breath-away-beautiful-pics-of-new-manduadih-station/1497574/,"February 25, 2019","Provided with a complete modern makeover, the Manduadih railway station can be easily mistaken for an airport or a corporate office. Not only does the station building make the Manduadih railway stati",https://images.financialexpress.com/2019/02/varanasi-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Assam-Tamil Nadu train: Indian Railways launches new Silaghat-Tambaram Weekly Express; details here,https://www.financialexpress.com/infrastructure/railways/assam-tamil-nadu-train-indian-railways-launches-new-silaghat-tambaram-weekly-express-details-here/1497536/,"February 25, 2019",The train was flagged off by Union Minister of State for Railways Rajen Gohain on Friday from Nagaon railway station to Tambaram in Tamil Nadu. The train will run every week between Silghat Town in As,https://images.financialexpress.com/2019/02/rail-5-660-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Bengaluru suburban rail on fast-track! Piyush Goyal takes big step for project; 5 takeaways for common man,https://www.financialexpress.com/infrastructure/railways/bengaluru-suburban-rail-on-fast-track-piyush-goyal-takes-big-step-for-project-5-takeaways-for-common-man/1495859/,"February 22, 2019",Bengaluru suburban railway project on fast-track! Railway Minister Piyush Goyal has stepped in to expedite the execution of the proposed Bengaluru suburban railway project. ,https://images.financialexpress.com/2019/02/bengauluru-sub-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Statue of Unity by train: Visit world’s tallest statue with IRCTC Bharat Darshan tour package; check details,https://www.financialexpress.com/infrastructure/railways/statue-of-unity-by-train-visit-worlds-tallest-statue-with-irctc-bharat-darshan-tour-package-check-details/1495539/,"February 22, 2019","The new IRCTC tour package has been designed to pay tribute to Sardar Vallabhbhai Patel, who is also fondly remembered as the Iron Man of India. At a height of 182 metres, the Statue of Unity is locat",https://images.financialexpress.com/2019/02/STATUE-OF-UNITY-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"Mumbai-Ahmedabad bullet train: Contract for India’s first such project likely to be of Rs 15,000-20,000 crore",https://www.financialexpress.com/infrastructure/railways/mumbai-ahmedabad-bullet-train-contract-for-indias-first-such-project-likely-to-be-of-rs-15000-20000-crore/1495433/,"February 22, 2019","The job for civil works will include construction of the over 200 km long viaduct for the high-speed corridor in Gujarat along with all the installations that come with it, including four stations Sur",https://images.financialexpress.com/2019/02/red-bullet-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Great news! Travel time on Rajdhani Express trains to reduce by an hour – thanks to new Indian Railways step,https://www.financialexpress.com/infrastructure/railways/great-news-travel-time-on-rajdhani-express-trains-to-reduce-by-an-hour-thanks-to-new-indian-railways-step/1495388/,"February 22, 2019","The project is totally 'Make in India', utilizing indigenous rolling stock without any additional cost. Moreover, it will also provide all the deliverables such as enhanced speed, doing away with the ",https://images.financialexpress.com/2019/02/rajdhani-660-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"IRCTC Ram Sethu Express tour package: Explore Tamil Nadu heritage, covering 18 temples; journey details here",https://www.financialexpress.com/infrastructure/railways/irctc-ram-sethu-express-tour-package-explore-tamil-nadu-heritage-covering-18-temples-journey-details-here/1495343/,"February 22, 2019"," The 4-day temple tour package, namely, ‘Ram Sethu Express - Tamil Nadu Temple Tour’ is starting on February 28 from the state capital Chennai, in Tamil Nadu. It will begin early in the morning fr",https://images.financialexpress.com/2019/02/railways-l-ap-660-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,Wow! New IRCTC PNR linking to make Indian Railways refund claims easier for connecting journeys – FE exclusive,https://www.financialexpress.com/infrastructure/railways/wow-new-irctc-pnr-linking-to-make-indian-railways-refund-claims-easier-for-connecting-journeys-fe-exclusive/1494667/,"February 21, 2019","IRCTC PNR linking and refund rule changes for connecting journeys: In a big passenger-friendly move, Piyush Goyal-led Indian Railways is all set to change introduce the concept of linking PNRs.",https://images.financialexpress.com/2019/02/pnr-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"India’s 1st vertical lift Pamban bridge, Indian Railways line to Ram Setu! PM Modi to lay foundation stones",https://www.financialexpress.com/infrastructure/railways/indias-1st-vertical-lift-pamban-bridge-indian-railways-line-to-ram-setu-pm-modi-to-lay-foundation-stones/1502175/,"March 01, 2019","The Rameswaram-Dhanushkodi rail line is likely to benefit several tourists visiting the popular tourist destination. The section will also be equipped with modern signalling equipment, electronic inte",https://images.financialexpress.com/2019/03/collage-660-620x400.jpg?w=620&h=400&imflag=true
